"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
op_2,outpatient,,checkbox,"<span style=""color: red;""><strong>OP-2b</strong></span> Which of the following Non-Communicable Diseases (Non-HIV related) is the client here for?","1, Diabetes Type I | 2, Diabetes Type II | 3, Asthma | 4, Leprosy | 5, Hypertension | 6, CVA/Stroke | 7, Acquired Heart Disease | 8, Rheum - Heart Disease | 9, Chron-con-heart Failure | 10, Chron-Renal Failure | 11, Sickle Cell Disease | 12, Nephrotic Syndrome | 13, Ischemia, | 14, NIL",,,,,,"[opd_ncd] = '1'",,,,,,
op_screen,outpatient,,descriptive,"<span style=""color: red;""><strong>After completing this form, screen for Mental Health , Health education and counselliing.</strong></span>",,,,,,,,,,,,,
sti_access,sti_register,,radio,"<font color=""blue""><b>STI-S</b></font>  Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
sti_visit_date,sti_register,,text,"<font color=""blue""><b>STI-0</b></font>  Date of visit",,,date_ymd,,,,"[sti_access] = 'Y'",y,,,,,
sti_date,sti_register,,text,"<font color=""blue""><b>STI-1</b></font>  Date (STI review)",,,date_ymd,,,,"[sti_access] = 'Y'",y,,,,,
sti_client_history,sti_register,,notes,"<font color=""blue""><b>STI-2</b></font> Write in full presenting complaint or history of the client",,,,,,,"[sti_access] = 'Y'",,,,,,
sti_repeat,sti_register,,radio,"<font color=""blue""><b>STI-3</b></font> New or Repeat STI Episode","N, New | R, Repeat",,,,,,"[sti_access] = 'Y'",y,,,,,
sti_syndrome,sti_register,,checkbox,"<font color=""blue""><b>STI-4</b></font> Indicate the syndrome as indicated below.","1, Urethral discharge | 2, Genital Ulcer | 3, Vaginal discharge | 4, Lower abdominal pain (women) | 5, Inguinal bubo | 6, Acute scrotal swelling | 7, Opthalmia Neonatorum | 8, Balanitis and Balanopostitis | 9, Genital Warts | 10, Congenital syphilis | 11, Anal Warts | 12, Gernital Herpes | 13, Other, | 14, NIL",,,,,,"[sti_access] = 'Y'",y,,,,,
sti_syndrome_other,sti_register,,text,"<font color=""blue""><b>STI-4b</b></font> Other specify",,,,,,,"[sti_syndrome(13)] = '1'",y,,,,,
sti_syphilis_test,sti_register,"<font color=""red""><b>Syphilis</b></font>",yesno,"<font color=""blue""><b>STI-5</b></font> Tested for syphilis?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_syphilis_test_why,sti_register,,radio,"<font color=""blue""><b>STI-6</b></font> Purpose for syphilis testing?","a, Antenatal | b, Sexual Abuse | c, Contact | d, Syphilis exposed infant | e, STI client | f, Partner of pregnant/ Breastfeeding woman | g, Other, | h, NIL",,,,,,"[sti_syphilis_test] = '1'",y,,,,,
sti_syph_test_why_other,sti_register,,text,"<font color=""blue""><b>STI-6a</b></font> Specify",,,,,,,"[sti_syphilis_test_why] = 'g'",y,,,,,
sti_syphilis_result,sti_register,,radio,"<font color=""blue""><b>STI-7</b></font> Syphilis testing result?","P, Positive | N, Negative | NL, NIL",,,,,,"[sti_syphilis_test] = '1'",y,,,,,
sti_syphilis_test_nd,sti_register,,notes,"<font color=""blue""><b>STI-7b</b></font>  Why was client not tested?",,,,,,,"[sti_syphilis_test] = '0'",y,,,,,
sti_gonorrhea_test,sti_register,"<font color=""red""><b>Gonorrhea</b></font>",yesno,"<font color=""blue""><b>STI-8</b></font> Tested for gonorrhea?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_gonorrhea_nd,sti_register,,notes,"<font color=""blue""><b>STI-8b</b></font>  Why was client not tested for gonorrhea?",,,,,,,"[sti_gonorrhea_test] = '0'",y,,,,,
sti_gonorrhea_test_why,sti_register,,radio,"<font color=""blue""><b>STI-9</b></font> Purpose for gonorrhea testing?","a, Antenatal | b, Sexual Abuse | c, Contact | d, Syphilis exposed infant | e, STI client | f, Partner of pregnant/ Breastfeeding woman | g, Other, | h, NIL",,,,,,"[sti_gonorrhea_test] = '1'",y,,,,,
sti_gonorr_test_why_other,sti_register,,text,"<font color=""blue""><b>STI-9a</b></font> Specify",,,,,,,"[sti_gonorrhea_test_why] = 'g'",,,,,,
sti_gonorrhea_result,sti_register,,radio,"<font color=""blue""><b>STI-10</b></font> Gonorrhea testing result","P, Positive | N, Negative, | NL, NIL",,,,,,"[sti_gonorrhea_test] = '1'",y,,,,,
sti_patient_treated,sti_register,"<font color=""red""><b>Treatment</b></font>",yesno,"<font color=""blue""><b>STI-11</b></font> Was the patient treated?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_treatment,sti_register,,notes,"<font color=""blue""><b>STI-11b</b></font> Write actual treatment given in full, indicating dose, frequency and duration.",,,,,,,"[sti_access] = 'Y'",y,,,,," @HIDDEN"
sti_hiv_test,sti_register,"<font color=""red""><b>HIV</b></font>",yesno,"<font color=""blue""><b>STI-12</b></font> Was client tested for HIV?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_hiv_test_result,sti_register,,radio,"<font color=""blue""><b>STI-12b</b></font> Indicate HIV result","P, Positive | N, Negative | I, Inconclusive | NA, Not Applicable",,,,,,"[sti_hiv_test] = '1'",y,,,,,
sti_hiv_test_nd,sti_register,,notes,"<font color=""blue""><b>STI-12c</b></font> Why was client not tested for HIV?",,,,,,,"[sti_hiv_test] = '0'",y,,,,,
