"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Record ID",,"Please use format [facility abbriviation]/[year]/[record number] e.g CHK/2024/001",,,,,,,,,,,
demog_district,demographics,,radio,District,"BIK, Bikita | ZAK, Zaka | CHI, Chiredzi",,,,,,,y,,,,,
demog_facility,demographics,,radio,"Facility and catchment area","SIL, Silveira Hospital | BIK, Bikita RHC | CKK, Chikuku RHC | MSH, Mashoko Hospital | NDG, Ndanga Hospital | MUS, Musiso Hospital | BTA, Bota RHC | HRV, Harava RHC | CHI, Chiredzi Hospital | CHK, Chikombedzi Hospital",,,,,,,y,,,,,
demog_firstname,demographics,,text,"First name ",,,,,,,,y,,,,,
demog_surname,demographics,,text,Surname,,,,,,,,y,,,,,
demog_dateofbirth,demographics,,text,"Date of Birth",,,date_ymd,,,,,y,,,,,
demog_age,demographics,,calc,Age,"rounddown(datediff([demog_dateofbirth], 'today', 'y'))",,,,,,,,,,,,
demog_gender,demographics,,radio,Gender,"1, Male | 2, Female",,,,,,,y,,,,,
demog_address,demographics,,notes,"Client address",,,,,,,,,,,,,
demog_have_contact,demographics,,radio,"Does client have contact number?","Y, Yes | N, No | NA, Not Available",,,,,,,y,,,,,
demog_contact,demographics,,text,"Client contact number",,,,,,,"[demog_have_contact] = 'Y'",,,,,,
demog_marital_status,demographics,,radio,"Marital Status","1, Married | 2, Never Married | 3, Widowed | 4, Divorced or Separated | 5, Living together | 6, Minor (For children) | 7, Not Given | 8, Divorced",,,,,,,,,,,,
